link,Price,Year,Mileage,Fuel,Transmission,EngineCapacity,Power,Color,Doors,Location
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-st-led-recaro-parkassist-hud-bo-1-hirdetesid-4ec4hp,11 463 247 Ft,2020,53 300 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-line-bluetooth-navi-led-klima-el-fenster-hirdetesid-23uyhk,11 467 026 Ft,2023,28 953 km,dízel,automata,1 499 cm³,85 kW (116 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-st-2-3-eco-1handbokameraled-hirdetesid-9hf6wt,11 467 375 Ft,2022,95 465 km,benzin,manuális/kézi,2 261 cm³,206 kW (280 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-st-pano-autom-bo-ahk-fast-full--hirdetesid-k5u3sx,11 467 375 Ft,2021,81 500 km,benzin,automata,2 261 cm³,206 kW (280 LE),szürke,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-ecoblue-aut-titanium-sync3-mit-hirdetesid-9cx6xm,11 488 993 Ft,2024,20 606 km,dízel,automata,1 499 cm³,85 kW (116 LE),ezüst,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-ecoblue-start-stopp-system-aut-hirdetesid-zepr39,11 488 993 Ft,2024,3 133 km,dízel,automata,1 499 cm³,85 kW (116 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-ecoblue-start-stopp-system-aut-hirdetesid-3szez4,11 488 993 Ft,2024,2 505 km,dízel,automata,1 499 cm³,85 kW (116 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-ecoblue-titanium-aut-sync3-mit-hirdetesid-wh52sw,11 488 993 Ft,2024,27 837 km,dízel,automata,1 499 cm³,85 kW (116 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-ecoblue-auto-st-line-x-pano--hirdetesid-d2rse7,11 502 170 Ft,2024,20 400 km,dízel,automata,1 499 cm³,85 kW (116 LE),szürke,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-1-5-ecoblue-st-line-x-turnier-aut-acc-led-hirdetesid-79ehfs,11 506 565 Ft,2025,20 000 km,dízel,automata,1 499 cm³,85 kW (116 LE),ezüst,5 ajtó,"Budapest, Üllői út 309."
